name,price,detail_link,image_link,tags
"Talisker 8 years old Tidal Churn special release 2024 58,7%","€104,95",https://slijterijdehelm.nl/winkel/whisky/malt/talisker-8-years-old-tidal-churn-special-release-2024-587/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Talisker-8-600x600.png,"Malt, Whisky"
Talisker 25 years old,"€424,95",https://slijterijdehelm.nl/winkel/whisky/zeer-exclusieve-bottelingen/talisker-25-years-old/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Talisker-25-600x600.png,"Malt, Zeer exclusieve bottelingen"
Talisker 18 years old,"€189,95",https://slijterijdehelm.nl/winkel/whisky/zeer-exclusieve-bottelingen/talisker-18-years-old/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Talisker-18-years-old-600x600.png,"Malt, Whisky, Zeer exclusieve bottelingen"
Tomintoul Five Decades 50th Anniversary 50%,"€499,95",https://slijterijdehelm.nl/winkel/whisky/zeer-exclusieve-bottelingen/tomintoul-five-decades-50th-anniversary-50/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Tomintoul-Five-Decades-50th-Anniversary-50-600x600.png,"Whisky, Zeer exclusieve bottelingen"
"Millstone Virgin American Oak 19 Years old Single cask 51,49%","€319,95",https://slijterijdehelm.nl/winkel/whisky/zeer-exclusieve-bottelingen/millstone-virgin-american-oak-19-years-old-single-cask-5149/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Millstone-19-600x600.png,"Whisky, Zeer exclusieve bottelingen"
Daftmill 2011 Winter batch release 46%,"€154,95",https://slijterijdehelm.nl/winkel/whisky/zeer-exclusieve-bottelingen/daftmill-2011-winter-batch-release-46/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Daftmill-2011-Winter-batch-release-46-600x600.png,"Whisky, Zeer exclusieve bottelingen"
Milroy’s Soho Selection Bunnahabhain 10 years old #1368,"€174,95",https://slijterijdehelm.nl/winkel/whisky/zeer-exclusieve-bottelingen/milroys-soho-selection-bunnahabhain-10-years-old-1368/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Millroys-Bunna-600x600.png,"Malt, Whisky, Zeer exclusieve bottelingen"
Tamdhu 18 years old,"€174,95",https://slijterijdehelm.nl/winkel/whisky/zeer-exclusieve-bottelingen/tamdhu-18-years-old/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Tamdhu-18-years-old-600x600.png,"Malt, Whisky, Zeer exclusieve bottelingen"
"Hogshead Islay Distillery 2010 13 years old 55,8%","€179,95 Oorspronkelijke prijs was: €179,95.€169,95Huidige prijs is: €169,95.",https://slijterijdehelm.nl/winkel/whisky/malt/hogshead-islay-distillery-2010-13-years-old-558/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Hogshead-Islay-Distillery-2010-13-years-old-558-600x600.png,"Malt, Whisky"
Carn Mor Glen Elgin 2017 6 years old,"€66,95",https://slijterijdehelm.nl/winkel/whisky/malt/carn-mor-glen-elgin-2017-6-years-old/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Carn-Mor-Glen-Elgin-2017-6-years-old-600x600.png,"Malt, Whisky"
Cask Noir Speyside 21 years old  Brave New Spirits The Legendary Harvey Brothers 2000 #2788,"€182,95",https://slijterijdehelm.nl/winkel/whisky/zeer-exclusieve-bottelingen/cask-noir-speyside-21-years-old-brave-new-spirits-the-legendary-harvey-brothers-2000-2788/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Cask-Noir-Brave-New-Spirits-The-Legendary-Harvey-Brothers-600x600.png,"Whisky, Zeer exclusieve bottelingen"
Dewar’s Double Double 27 years old,"€169,95",https://slijterijdehelm.nl/winkel/whisky/dewars-double-double-27-years-old/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Dewar8217s-Double-Double-27-years-old-600x600.png,Whisky
Bunnahabhain 18 years old,"€163,95",https://slijterijdehelm.nl/winkel/whisky/bunnahabhain-18-years-old/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/bunnahabhain-18-600x600.png,Whisky
"Glenallachie 30 years old batch 4 49,1%","€729,95",https://slijterijdehelm.nl/winkel/whisky/zeer-exclusieve-bottelingen/glenallachie-30-years-old-batch-4-491/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Glenallachie-30-years-old-batch-4-600x600.png,"Malt, Whisky, Zeer exclusieve bottelingen"
Bruichladdich 18 years old,"€196,95",https://slijterijdehelm.nl/winkel/whisky/bruichladdich-18-years-old/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/br-18-600x600.png,Whisky
Tomatin Cù Bòcan Creation #5 46%,"€64,95",https://slijterijdehelm.nl/winkel/whisky/malt/tomatin-cu-bocan-creation-5-46/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Cu-Bocan-Creation-5-600x600.png,"Malt, Whisky"
"Finn Thomson North British 1988 35 years old #34447 52,5%","€267,95",https://slijterijdehelm.nl/winkel/whisky/malt/finn-thomson-north-british-1988-35-years-old-34447-525/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Finn-Thomson-North-British-1988-35-years-old-34447-525-600x600.png,"Malt, Whisky"
"Signatory Vintage Symington’s Choice Glen Rothes 1997 26 years old #9812 52,4%","€314,95",https://slijterijdehelm.nl/winkel/whisky/signatory-vintage-symingtons-choice-glen-rothes-1997-26-years-old-9812-524/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Glen-Rothes-26-sv-600x600.png,Whisky
Macallan 15 years old Double cask,"€199,95",https://slijterijdehelm.nl/winkel/whisky/malt/macallan-15-years-old-double-cask/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Macallan-15-years-old-Double-cask-07-ltr-600x600.jpg,"Malt, Whisky"
"Gordon & MacPhail Connoisseurs Choice Speyburn 2008 15 years old # 552 60,2%","€134,95",https://slijterijdehelm.nl/winkel/whisky/gordon-macphail-connoisseurs-choice-speyburn-2008-15-years-old-552-602/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Speyburn-GM-600x600.png,Whisky
Gordon & Macphail Connoisseurs Choice Upper Speyside 30 years old 46%,"€449,95",https://slijterijdehelm.nl/winkel/whisky/gordon-macphail-connoisseurs-choice-upper-speyside-30-years-old-46/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Gordon-amp-Macphail-Connoisseurs-Choice-Upper-Speyside-30-years-old-46-600x600.jpg,Whisky
"Aberlour 15 years old 59,7%","€135,95",https://slijterijdehelm.nl/winkel/whisky/zeer-exclusieve-bottelingen/aberlour-15-years-old-597/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/aberlour-15-600x600.png,"Malt, Whisky, Zeer exclusieve bottelingen"
Craigellachie 17 years old,"€118,95",https://slijterijdehelm.nl/winkel/whisky/malt/craigellachie-17-years-old/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Craigellachie-17-years-old-600x600.png,"Malt, Whisky"
Old Malt Cask Craigellachie 2007 15 years old Sherry Butt 50%,"€112,95",https://slijterijdehelm.nl/winkel/whisky/malt/old-malt-cask-craigellachie-2007-15-years-old-sherry-butt-50/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Old-Malt-Cask-Craigellachie-2007-15-years-old-Sherry-Butt-50-600x600.png,"Malt, Whisky"
"Glen Wyvis 2023 46,5%","€63,95",https://slijterijdehelm.nl/winkel/whisky/malt/glen-wyvis-2023-465/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Glen-Wyvis-2023-465-600x600.jpg,"Malt, Whisky"
"Blackadder Raw Cask Glentauchers 2012 10 years old #900472 64,3%","€114,95",https://slijterijdehelm.nl/winkel/whisky/malt/blackadder-raw-cask-glentauchers-2012-10-years-old-900472-643/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Blackadder-Raw-Cask-Glentauchers-2012-10-years-old-900472-643-1-600x600.png,"Malt, Whisky"
Big Peat Thropaigeach Feis Ile Edition 2024 48%,"€72,95",https://slijterijdehelm.nl/winkel/whisky/malt/big-peat-thropaigeach-feis-ile-edition-2024-48/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Big-Peat-Thropaigeach-Feis-ile-2024-600x600.png,Malt
